Temperature (K),B2V Hard Sphere,B2V Lennard-Jones,B2V Square Well
102.36279534941868,4.9383598972523185e+25,-1.5459814252082935e+26,-1.985353083034773e+26
102.45030628828603,4.9383598972523185e+25,-1.543691019649028e+26,-1.9818146069085723e+26
102.5378172271534,4.9383598972523185e+25,-1.5414058918491756e+26,-1.978285586818347e+26
102.62532816602075,4.9383598972523185e+25,-1.5391260238411409e+26,-1.9747659865524523e+26
102.7128391048881,4.9383598972523185e+25,-1.5368513977380666e+26,-1.971255770077935e+26
102.80035004375547,4.9383598972523185e+25,-1.5345819957333893e+26,-1.9677549015394656e+26
102.88786098262283,4.9383598972523185e+25,-1.5323178001003884e+26,-1.96426334525827e+26
102.9753719214902,4.9383598972523185e+25,-1.5300587931917444e+26,-1.960781065731075e+26
103.06288286035755,4.9383598972523185e+25,-1.5278049574391e+26,-1.95730802762905e+26
103.1503937992249,4.9383598972523185e+25,-1.5255562753526219e+26,-1.9538441957967747e+26
103.23790473809225,4.9383598972523185e+25,-1.5233127295205626e+26,-1.950389535251194e+26
103.32541567695962,4.9383598972523185e+25,-1.5210743026088352e+26,-1.946944011180593e+26
103.41292661582698,4.9383598972523185e+25,-1.5188409773605775e+26,-1.9435075889435765e+26
103.50043755469434,4.9383598972523185e+25,-1.5166127365957311e+26,-1.940080234068052e+26
103.5879484935617,4.9383598972523185e+25,-1.5143895632106166e+26,-1.9366619122502262e+26
103.67545943242905,4.9383598972523185e+25,-1.5121714401775111e+26,-1.933252589353601e+26
103.76297037129642,4.9383598972523185e+25,-1.5099583505442313e+26,-1.9298522314079818e+26
103.85048131016377,4.9383598972523185e+25,-1.5077502774337222e+26,-1.9264608046084935e+26
103.93799224903113,4.9383598972523185e+25,-1.5055472040436382e+26,-1.923078275314596e+26
104.0255031878985,4.9383598972523185e+25,-1.5033491136459377e+26,-1.9197046100491174e+26
104.11301412676585,4.9383598972523185e+25,-1.5011559895864768e+26,-1.9163397754972853e+26
104.2005250656332,4.9383598972523185e+25,-1.4989678152846e+26,-1.912983738505766e+26
104.28803600450057,4.9383598972523185e+25,-1.4967845742327449e+26,-1.9096364660817165e+26
104.37554694336792,4.9383598972523185e+25,-1.4946062499960389e+26,-1.906297925391833e+26
104.46305788223528,4.9383598972523185e+25,-1.4924328262119025e+26,-1.9029680837614173e+26
104.55056882110264,4.9383598972523185e+25,-1.490264286589659e+26,-1.8996469086734413e+26
104.63807975997,4.9383598972523185e+25,-1.4881006149101391e+26,-1.8963343677676193e+26
104.72559069883735,4.9383598972523185e+25,-1.4859417950252941e+26,-1.8930304288394906e+26
104.81310163770472,4.9383598972523185e+25,-1.4837878108578092e+26,-1.8897350598395035e+26
104.90061257657207,4.9383598972523185e+25,-1.4816386464007199e+26,-1.886448228872112e+26
104.98812351543943,4.9383598972523185e+25,-1.4794942857170302e+26,-1.883169904194868e+26
